transactionRevenue,hits,pageviews,visits,continent,browser,continent_cat,browser_cat
35290000,5,5,1,Americas,Chrome,1,0
27430000,11,11,1,Americas,Chrome,1,0
1990000,15,14,1,Americas,Chrome,1,0
13290000,16,14,1,Americas,Safari,1,2
11960000,16,16,1,Americas,Chrome,1,0
33500000,17,14,1,Americas,Chrome,1,0
200000000,17,13,1,Americas,Chrome,1,0
45670000,18,16,1,Americas,Chrome,1,0
2990000,18,18,1,Europe,Chrome,2,0
28790000,20,18,1,Americas,Chrome,1,0
43640000,21,15,1,Americas,Chrome,1,0
55000000,21,16,1,Americas,Safari,1,2
48770000,22,16,1,Americas,Chrome,1,0
347140000,23,18,1,Americas,Chrome,1,0
982730000,24,17,1,Americas,Chrome,1,0
44000000,24,24,1,Americas,Chrome,1,0
22400000,24,20,1,Americas,Chrome,1,0
169900000,25,21,1,Americas,Chrome,1,0
26000000,26,22,1,Americas,Chrome,1,0
82480000,28,20,1,Americas,Chrome,1,0
234530000,28,23,1,Americas,Chrome,1,0
67190000,29,20,1,Americas,Chrome,1,0
157140000,30,20,1,Americas,Chrome,1,0
48220000,30,23,1,Americas,Chrome,1,0
46540000,30,25,1,Americas,Chrome,1,0
13290000,30,29,1,Americas,Safari,1,2
135070000,34,31,1,Americas,Chrome,1,0
29580000,35,27,1,Americas,Chrome,1,0
313380000,36,27,1,Americas,Chrome,1,0
44790000,38,28,1,Americas,Chrome,1,0
30760000,39,28,1,Americas,Chrome,1,0
170390000,53,34,1,Americas,Chrome,1,0
30790000,53,40,1,Americas,Chrome,1,0
33310000,53,43,1,Americas,Chrome,1,0
144690000,55,42,1,Americas,Chrome,1,0
48000000,58,45,1,Americas,Chrome,1,0
40850000,71,52,1,Americas,Firefox,1,1
126680000,71,48,1,Americas,Chrome,1,0
4990000,80,58,1,Americas,Chrome,1,0
2933610000,82,55,1,Americas,Chrome,1,0
400210000,156,112,1,Americas,Chrome,1,0
27180000,193,106,1,Americas,Chrome,1,0
167400000,32,24,1,Americas,Chrome,1,0
15930000,35,26,1,Americas,Chrome,1,0
140560000,36,27,1,Americas,Chrome,1,0
61900000,37,31,1,Americas,Chrome,1,0
97200000,37,33,1,Americas,Chrome,1,0
8990000,38,31,1,Americas,Chrome,1,0
102350000,49,35,1,Americas,Chrome,1,0
20780000,51,43,1,Americas,Chrome,1,0
144190000,53,37,1,Americas,Chrome,1,0
1589400000,54,39,1,Africa,Chrome,0,0
250000000,64,58,1,Americas,Chrome,1,0
27180000,67,42,1,Americas,Chrome,1,0
105800000,69,49,1,Americas,Chrome,1,0
47990000,79,59,1,Americas,Chrome,1,0
219880000,83,58,1,Americas,Chrome,1,0
31990000,83,60,1,Americas,Chrome,1,0
7990000,9,9,1,Americas,Chrome,1,0
16990000,14,11,1,Americas,Chrome,1,0
16990000,16,13,1,Americas,Safari,1,2
71700000,18,14,1,Americas,Chrome,1,0
127800000,20,15,1,Americas,Chrome,1,0
57580000,21,17,1,Americas,Chrome,1,0
27180000,21,21,1,Americas,Chrome,1,0
17590000,22,17,1,Americas,Chrome,1,0
216920000,22,17,1,Americas,Chrome,1,0
3500000,25,19,1,Americas,Chrome,1,0
36780000,25,19,1,Americas,Chrome,1,0
55990000,26,23,1,Americas,Chrome,1,0
2211380000,34,22,1,Americas,Chrome,1,0
27190000,34,28,1,Americas,Chrome,1,0
39960000,34,26,1,Americas,Chrome,1,0
23480000,34,24,1,Americas,Chrome,1,0
